,Unnamed: 0.1,Unnamed: 0,RankingList,Filename,index,Role,Standardized Role,job_function,Company,min_salary,max_salary,other_compensation,degree_level,field_of_study,certifications_training,skill,description,learning_objective,confidence,cluster,hierarchy,isSpecialized,type,isBusiness,combined,new_embeds,predicted_cluster,cluster_label,IQ_INDUSTRY_CLASSIFICATION,IQ_INDUSTRY_GROUP,Overall % from Aspirations,Industry Count,Industry Importance,Impact score,Personal Growth score,Leadership Development score,Challenges score,Overall % from Motivations,Normalized Overall % from Aspirations,Normaized Industry Importance,Normalized Overall % from Motivations,Combined Normalized Overall % from Aspirations and Motivations,Combined Normalized Industry Importance and Overall % from Motivations,Open Positions,Mean Industry Importance Score
108,110,110,Companies In India,job_result_10_80.txt,110,Tech Lead,Tech Lead,Technology,Sterlite Industries,100000,150000,Benefits and bonuses,Bachelor's,Computer Science,SAP certification,Problem Solving,Ability to troubleshoot issues,Develop problem-solving skills,0.6,Soft Skills,Problem Solving,0.0,Implied,0,Role: Tech Lead; Skills: Problem Solving; Learning Objectives: Develop problem-solving skills,"[ 0.00498302 -0.01117134  0.01436722 ... -0.01043037 -0.00866708
 -0.00468092]",7,Engineering Leadership,Materials,Materials,0.054900000000000004,146,8.015400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0319094665601034,0.0,0.0,0.0319094665601034,13,0.0319094665601034
109,111,111,Companies In India,job_result_6_60.txt,111,Banking back office,Banking Back Office,Operations,Tech Mahindra,"23,000.00","28,000.00","Performance bonus, Shift allowance",Graduation,Any,Not specified,Teamwork,Ability to work in a team,"By the end of this course, learners will be able to work collaboratively in a team.",0.1,Soft Skills,root,0.0,Implied,0,"Role: Banking Back Office; Skills: Teamwork; Learning Objectives: By the end of this course, learners will be able to work collaboratively in a team","[-0.01667444 -0.02016934  0.02221976 ... -0.01442832  0.00616787
 -0.02601161]",6,Banking,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
110,112,112,Companies In India,job_result_6_40.txt,112,Assistant Manager- Admissions,Assistant Manager Admissions,Operations,Tech Mahindra,400000,600000,Bonuses and benefits,Post Graduation,Management,,Collaboration,Work collaboratively with the business development team.,Develop collaboration skills to drive business growth.,0.7,Teamwork,Collaboration,0.0,Implied,1,Role: Assistant Manager Admissions; Skills: Collaboration; Learning Objectives: Develop collaboration skills to drive business growth,"[-0.02366356 -0.00488478  0.00926303 ... -0.00880785  0.00826513
 -0.0117727 ]",8,Corporate Strategy,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
111,113,113,Companies In India,job_result_9_50.txt,113,Assistant Manager- Admissions,Assistant Manager Admissions,Operations,Tech Mahindra,400000,600000,Bonuses and benefits,Post Graduation,Management,,Time Management,Ability to prioritize tasks and manage time effectively.,Develop skills in time management to enhance productivity.,0.8,Personal Effectiveness,Time Management,0.0,Implied,1,Role: Assistant Manager Admissions; Skills: Time Management; Learning Objectives: Develop skills in time management to enhance productivity,"[-0.02070282 -0.00229096  0.01003565 ... -0.01267655  0.00632088
 -0.01043939]",4,Marketing and Sales,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
112,114,114,Companies In India,job_result_4_40.txt,114,Mega Walkin - HR Exec - Tech Mahindra Business Services - Mumbai,Executive Talent Acquisition,Human Resources,Tech Mahindra,15000,17000,Home drop will be provided if the candidates stay within the transport boundaries,Bachelor's,Any,Not specified,Organizational Skills,Maintain organized workflows and systems,Develop organizational skills,0.45,Soft Skills,Root,0.0,Implied,0,Role: Executive Talent Acquisition; Skills: Organizational Skills; Learning Objectives: Develop organizational skills,"[-0.02877471 -0.01167226  0.02038755 ... -0.0100441   0.00306118
 -0.00944905]",10,Operational Excellence,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
113,115,115,Companies In India,job_result_2_30.txt,115,Team Lead,Team Lead,Product Development,Tech Mahindra,800000,1500000,Benefits and bonuses,Bachelor's,Electrical Engineering,Not specified,Vehicle Network System,Understanding vehicle network systems for product development.,"Given a product requirement, understand vehicle network systems for the product.",0.6,Design,Product Development,1.0,Nice_to_Have,0,"Role: Team Lead; Skills: Vehicle Network System; Learning Objectives: Given a product requirement, understand vehicle network systems for the product","[-0.00456133 -0.01472855  0.00056353 ... -0.01299629 -0.01459322
 -0.01211109]",1,Product Management,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.48960000000000004,0.0,0.0,0.12240000000000001,1.0,1.0,0.5303867403314917,1.5303867403314917,1.5303867403314917,8,1.125
114,116,116,Companies In India,job_result_10_60.txt,116,Customer Support Associate,Customer Support Associate,Customer Support,Tech Mahindra,"28,000.00","36,000.00",Provident Fund,Bachelor's,Relevant field,Not specified,Customer Service,"Provide excellent customer service via phone, email, or chat.","Audience: Customer-facing teams, Behavior: Respond promptly to customer inquiries, Condition: Within 2 hours, Degree: 90%",0.9,Communication Skills,Root,0.0,Must_Have,0,"Role: Customer Support Associate; Skills: Customer Service; Learning Objectives: Audience: Customer-facing teams, Behavior: Respond promptly to customer inquiries, Condition: Within 2 hours, Degree: 90%","[-0.01035766 -0.0097678   0.02977607 ... -0.01539424 -0.02309168
 -0.01570317]",9,Consulting,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
115,117,117,Companies In India,job_result_3_90.txt,117,Tech Lead,Tech Lead,Technology,Tech Mahindra,100000,150000,"Stock options, bonuses, and benefits",Bachelor's,Computer Science,Relevant certifications in software development,Communication,Effective communication skills for technical teams.,Enhance communication skills to facilitate collaboration among technical teams.,0.75,Soft Skills,root,0.0,Implied,0,Role: Tech Lead; Skills: Communication; Learning Objectives: Enhance communication skills to facilitate collaboration among technical teams,"[-0.00384915 -0.00974189  0.01967658 ... -0.01261262 -0.01193089
 -0.00557511]",7,Engineering Leadership,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.4335,0.0,0.108375,1.0,1.0,0.46961325966850825,1.4696132596685083,1.4696132596685083,8,1.125
116,118,118,Companies In India,job_result_5_70.txt,118,Data Migration Specialist,Data Migration Specialist,Technology,Tech Mahindra,50 LPA,50 LPA,Immediate to 60 days notice period,Bachelor's or Master's,"Computer Science, Information Technology, or related field",5+ years experience in hands-on roles,Problem Solving,Ability to solve problems,Solve complex problems,0.6,Analytical Skills,Problem Solving,0.0,Implied,0,Role: Data Migration Specialist; Skills: Problem Solving; Learning Objectives: Solve complex problems,"[-0.01559082 -0.01770105  0.01677296 ... -0.00656045 -0.01661743
  0.00192713]",0,Business Analytics,Information Technology,Software and Services,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,1.125
117,119,119,Companies In India,job_result_5_10.txt,119,Technical Trainer,Technical Trainer,Teaching / Training,Zeta,Not specified,Not specified,Not specified,Bachelor's,Any,Not specified,Team Collaboration,Collaborating with cross-functional teams,Foster effective collaboration with diverse stakeholders,0.6,Interpersonal Skills,Child,0.0,Implied,0,Role: Technical Trainer; Skills: Team Collaboration; Learning Objectives: Foster effective collaboration with diverse stakeholders,"[-0.0246309  -0.01610122  0.00956287 ... -0.02713743 -0.00734767
 -0.00847849]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
118,120,120,Companies In India,job_result_5_30.txt,120,Business Systems Analyst,Business Systems Analyst,Technology,Zeta,80000,120000,"Benefits, Stock Options",Bachelor's,Computer Science,,Problem Solving,Solve business problems using analytical skills,"Given a business problem, solve it using analytical skills.",0.5,Soft Skills,Problem Solving,0.0,Implied,0,"Role: Business Systems Analyst; Skills: Problem Solving; Learning Objectives: Given a business problem, solve it using analytical skills","[-0.01679156 -0.0114255   0.01460913 ... -0.01381652 -0.0133021
 -0.00795822]",0,Business Analytics,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
119,121,121,Companies In India,job_result_3_70.txt,121,Associate - Credit Card Operations,Associate Credit Card Operations,Operations,Zeta,"200,000.00","550,000.00","Health insurance, Life insurance, Provident Fund, Performance bonus",Graduate,Operations / Servicing,"Relevant experience in Fintech/Banking domain, more specifically in credit card operations",Time Management,Ability to manage time efficiently to meet deadlines.,Develop skills to manage time effectively.,0.4,Soft Skills,Child,0.0,Implied,1,Role: Associate Credit Card Operations; Skills: Time Management; Learning Objectives: Develop skills to manage time effectively,"[-0.02241297 -0.00405727  0.02047774 ... -0.01352564 -0.00659673
 -0.03650013]",6,Banking,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
120,122,122,Companies In India,job_result_10_90.txt,122,Digital Marketer,Digital Marketing Specialist,Sales & Marketing,Zeta,25000.00,30000.00,Paid sick time,Bachelor's,Marketing or related field,None specified,Time Management,Managing time effectively to meet deadlines,Develop time management skills,0.7,Soft Skills,Child,0.0,Implied,1,Role: Digital Marketing Specialist; Skills: Time Management; Learning Objectives: Develop time management skills,"[-0.03223109 -0.00059631  0.00552498 ... -0.00934225 -0.00609245
 -0.01806751]",4,Marketing and Sales,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
121,123,123,Companies In India,job_result_1_30.txt,123,Senior Associate - Legal,Senior Associate Legal,Legal,Zeta,Not specified,Not specified,Not specified,Bachelor's,Law,Not specified,Analytical Thinking,Ability to analyze complex legal concepts and identify key issues,"Given a complex legal concept, the candidate will be able to identify key issues and analyze them effectively.",0.8,Soft Skills,Soft Skills > Analytical Thinking,0.0,Implied,0,"Role: Senior Associate Legal; Skills: Analytical Thinking; Learning Objectives: Given a complex legal concept, the candidate will be able to identify key issues and analyze them effectively","[-0.00923073 -0.02175335  0.02804572 ... -0.01826968 -0.02278718
 -0.00524414]",0,Business Analytics,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
122,124,124,Companies In India,job_result_5_60.txt,124,Accounts Assistant- Mauritius,Accountant,Finance,Zeta,40000,60000,Benefits package,Bachelor's,Commerce,Additional certifications in accounting,Audit,Knowledge of auditing principles and procedures,Conduct audits to ensure financial accuracy,0.7,Financial Management,Root,1.0,Nice_to_Have,1,Role: Accountant; Skills: Audit; Learning Objectives: Conduct audits to ensure financial accuracy,"[-9.51671959e-03 -1.66414002e-02  2.17715594e-02 ... -1.87015510e-05
  5.34242462e-03 -2.36157836e-02]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
123,125,125,Companies In India,job_result_5_70.txt,125,Engineering Manager,Engineering Manager,Engineering,Zeta,120000,180000,"Stock options, bonuses, and benefits",Bachelor's,Computer Science,"Java Certification, Agile Certification",Leadership,"Guiding, motivating, and directing teams to achieve organizational goals.","Develop leadership skills to guide, motivate, and direct teams effectively.",0.4,Management,Root,0.0,Implied,0,"Role: Engineering Manager; Skills: Leadership; Learning Objectives: Develop leadership skills to guide, motivate, and direct teams effectively","[-0.01534906 -0.01348996  0.00827379 ... -0.01006032  0.00019044
  0.00017153]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
124,126,126,Companies In India,job_result_2_50.txt,126,Manager - People Partnering & Engagement,Manager People Partnering & Engagement,Human Resources,Zeta,Not specified,Not specified,Not specified,Bachelor's,Human Resources Management,Not specified,Collaboration,Ability to collaborate with cross-functional teams.,Develop collaboration skills.,0.6,Teamwork Skills,Collaboration > Teamwork Skills,0.0,Implied,1,Role: Manager People Partnering & Engagement; Skills: Collaboration; Learning Objectives: Develop collaboration skills,"[-0.02945519 -0.02598775  0.01333008 ... -0.00537453 -0.00087239
 -0.01864263]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
125,127,127,Companies In India,job_result_5_0.txt,127,Program Manager-II,Program Manager II,Project Management,Zeta,Not specified,Not specified,Not specified,Bachelor's,Engineering,Not specified,JIRA,Experience with JIRA project management tool,Use JIRA to track project progress,0.6,Project Management Tools,Child,1.0,Nice_to_Have,0,Role: Program Manager II; Skills: JIRA; Learning Objectives: Use JIRA to track project progress,"[-0.01766323 -0.01825558 -0.00167093 ... -0.00913752 -0.00987776
 -0.01676882]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
126,128,128,Companies In India,job_result_1_90.txt,128,Engineering Manager - Mobile,Engineering Manager Mobile,Engineering,Zeta,150000,250000,"Stock options, bonuses, and benefits",Bachelor's,Computer Science,Not specified,Mobile SDK Development,Develop mobile SDKs for Android and iOS platforms.,Design and develop mobile SDKs for cross-platform compatibility.,0.9,Mobile Development,Mobile SDK Development > Mobile Development,1.0,Must_Have,0,Role: Engineering Manager Mobile; Skills: Mobile SDK Development; Learning Objectives: Design and develop mobile SDKs for cross-platform compatibility,"[-0.01173772 -0.00589326  0.00696943 ... -0.00747492  0.00353188
 -0.00679233]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
127,129,129,Companies In India,job_result_1_40.txt,129,Senior Manager - ERP,Senior Manager ERP,Finance,Zeta,100000,150000,"Stock options, bonuses",Bachelor's,"Finance, Accounting","ERP certification, Oracle Fusion certification",Team Management,Managing teams effectively,"Given a team, manage it successfully.",0.4,Management Skills,Management > Team Management,0.0,Implied,1,"Role: Senior Manager ERP; Skills: Team Management; Learning Objectives: Given a team, manage it successfully","[-0.00562201 -0.0214584   0.0036688  ... -0.00173785 -0.00549287
 -0.00524443]",0,Business Analytics,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
128,130,130,Companies In India,job_result_2_90.txt,130,MY SQL DBP,Software Engineer,Technology,Zeta,Not specified,Not specified,Not specified,Bachelor's,Computer Science,Not specified,Team Collaboration,Collaborative work,Foster effective teamwork and collaboration,0.7,Soft Skills,Soft Skills > Team Collaboration,0.0,Implied,0,Role: Software Engineer; Skills: Team Collaboration; Learning Objectives: Foster effective teamwork and collaboration,"[-0.00400769 -0.0049025   0.02597991 ... -0.01519587 -0.00700642
 -0.00588199]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
129,131,131,Companies In India,job_result_3_90.txt,131,Lead - Content Writer,Content Writer,Sales & Marketing,Zeta,Not specified,Not specified,Not specified,Bachelor's,"Communications, Marketing, English, Journalism, or related field",Not specified,Time Management,Ability to manage time effectively,Meet deadlines and manage workload efficiently,0.8,Soft Skills,Child,0.0,Implied,1,Role: Content Writer; Skills: Time Management; Learning Objectives: Meet deadlines and manage workload efficiently,"[-0.01004324 -0.00273904  0.00821219 ... -0.00972144  0.00479572
 -0.02507797]",4,Marketing and Sales,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
130,132,132,Companies In India,job_result_6_0.txt,132,Director - Finance and Accounts,Director Finance and Accounts,Finance,Zeta,Not specified,Not specified,Not specified,Bachelor's,Chartered Accountant,Not specified,Problem Solving,Resolve financial issues and improve processes,Develop problem-solving skills,0.5,Problem Solving,Critical Thinking,0.0,Implied,0,Role: Director Finance and Accounts; Skills: Problem Solving; Learning Objectives: Develop problem-solving skills,"[-0.01290465 -0.01361078  0.01001543 ...  0.00496792  0.00373825
 -0.01079023]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
131,133,133,Companies In India,job_result_4_30.txt,133,Product Manager - Tachyon (Aura),Product Manager,Product Management,Zeta,100000,150000,Stock options and bonuses,Bachelor's,Computer Science,Product Management certification,Problem Solving,Solving complex problems and debugging,Debug and resolve a complex issue,0.7,Critical Thinking,Problem Solving > Debugging,0.0,Implied,0,Role: Product Manager; Skills: Problem Solving; Learning Objectives: Debug and resolve a complex issue,"[-0.01224245 -0.00759858  0.01181561 ...  0.00172755 -0.0066116
 -0.01794447]",1,Product Management,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
132,134,134,Companies In India,job_result_10_20.txt,134,Assistant Manager - Internal Audit,Assistant Manager Internal Audit,Internal Audit,Zeta,Not specified,Not specified,Not specified,Bachelor's,Accounting or related field,Chartered Accountant (CA) certification,S Ox Compliance,Knowledge of S Ox compliance regulations,Understand S Ox compliance requirements and ensure adherence,0.6,Regulatory Knowledge,Root,1.0,Nice_to_Have,1,Role: Assistant Manager Internal Audit; Skills: S Ox Compliance; Learning Objectives: Understand S Ox compliance requirements and ensure adherence,"[-0.02669474 -0.01447303  0.01524602 ...  0.00665712 -0.00800732
 -0.02217166]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
133,135,135,Companies In India,job_result_3_40.txt,136,Manager - People Partnering & Engagement,Manager People Partnering & Engagement,Human Resources,Zeta,70000,90000,"Bonuses, stock options, and benefits package",Bachelor's,Human Resources Management,SHRM-CP or HRCI certification preferred,HR Management,"Manage HR functions, including talent acquisition, employee engagement, and benefits administration.",Develop HR management skills to effectively lead HR teams.,0.9,HR Skills,Root,1.0,Must_Have,1,Role: Manager People Partnering & Engagement; Skills: HR Management; Learning Objectives: Develop HR management skills to effectively lead HR teams,"[-0.03086374 -0.0221773   0.01487832 ... -0.00736601  0.00014919
 -0.01280102]",8,Corporate Strategy,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
134,136,136,Companies In India,job_result_3_50.txt,137,VP Product Strategy - Credit Cards,VP Product Strategy Credit Cards,Product Management,Zeta,150000,250000,"Stock options, bonuses, and benefits",Bachelor's,"Computer Science, Engineering, Economics, Finance, Statistics",,Problem-Solving,Ability to analyze complex problems and develop effective solutions.,"Given a complex problem, the candidate will be able to analyze and develop an effective solution.",0.8,Problem-Solving,Parent,0.0,Implied,1,"Role: VP Product Strategy Credit Cards; Skills: Problem-Solving; Learning Objectives: Given a complex problem, the candidate will be able to analyze and develop an effective solution","[-0.02528482 -0.00976377  0.02017462 ... -0.00922264 -0.01630824
 -0.02581834]",8,Corporate Strategy,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
135,137,137,Companies In India,job_result_2_20.txt,138,Director - Legal,Director Legal,Legal,Zeta,Not specified,Not specified,Not specified,BA.LLB (Hons),Law,Not specified,Time Management,Ability to manage time effectively to meet deadlines,"Given a deadline, the candidate will be able to manage time effectively to meet it.",0.5,Soft Skills,Productivity,0.0,Implied,0,"Role: Director Legal; Skills: Time Management; Learning Objectives: Given a deadline, the candidate will be able to manage time effectively to meet it","[-0.00732913 -0.01886705  0.01242119 ... -0.01294481 -0.01124295
  0.00013947]",8,Corporate Strategy,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
136,138,138,Companies In India,job_result_2_40.txt,139,Strategic Partnerships and Revenue Operations Manager,Strategic Partnerships and Revenue Operations Manager,Operations,Zeta,Not specified,Not specified,"Bonuses, stock options, benefits",Bachelor's,"Business, Finance, Economics, or related field",MBA or equivalent advanced degree strongly preferred,Time Management,Ability to manage time effectively to meet deadlines and prioritize tasks,Audience: Self; Behavior: Manage Time; Condition: Deadlines; Degree: Effectively,0.6,Personal Skills,Root,0.0,Implied,1,Role: Strategic Partnerships and Revenue Operations Manager; Skills: Time Management; Learning Objectives: Audience: Self; Behavior: Manage Time; Condition: Deadlines; Degree: Effectively,"[-0.01536899 -0.0302764   0.00717737 ... -0.00745323 -0.00029566
 -0.00940183]",8,Corporate Strategy,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
137,139,139,Companies In India,job_result_10_0.txt,140,Senior Manager - ERP,Senior Manager ERP,Finance,Zeta,100000,150000,Bonuses and stock options,Bachelor's,Computer Science,Oracle Fusion certification,Problem Solving,Solving problems,Solve problems efficiently,0.8,Soft Skills,Problem Solving,0.0,Implied,0,Role: Senior Manager ERP; Skills: Problem Solving; Learning Objectives: Solve problems efficiently,"[-0.00693707 -0.01906933  0.00465426 ...  0.00304068 -0.00632031
 -0.00980276]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
138,140,140,Companies In India,job_result_2_10.txt,141,Director - Finance and Accounts,Director Finance and Accounts,Finance,Zeta,150000,250000,"Stock options, bonuses, and benefits",Bachelor's,"Finance, Accounting, or related field","CA, CPA, or equivalent certification",Communication Skills,Ability to communicate effectively with stakeholders.,"Given a message, communicate it effectively to stakeholders.",0.6,Communication,Interpersonal Skills,0.0,Implied,1,"Role: Director Finance and Accounts; Skills: Communication Skills; Learning Objectives: Given a message, communicate it effectively to stakeholders","[-0.01608495 -0.01869982  0.00765091 ...  0.00604949 -0.00216631
 -0.01162474]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
139,141,141,Companies In India,job_result_10_30.txt,142,BE Analyst,Business Excellence Analyst,Analytics,Zeta,Not specified,Not specified,Not specified,Bachelor's,Any,Not specified,Quality Management,Knowledge of quality management principles and practices.,"Given a scenario, the candidate will be able to identify opportunities for quality improvement.",0.7,Domain Knowledge,Root,1.0,Nice_to_Have,0,"Role: Business Excellence Analyst; Skills: Quality Management; Learning Objectives: Given a scenario, the candidate will be able to identify opportunities for quality improvement","[-0.02807351 -0.00946045  0.01732082 ... -0.00339468 -0.00578151
 -0.0145576 ]",0,Business Analytics,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
140,142,142,Companies In India,job_result_4_10.txt,143,SDE2,Software Developer Engineer 2,Technology,Zeta,100000,150000,Stock options and bonuses,Bachelor's,Computer Science,,Web Development,Developing web applications using programming languages and frameworks.,"Design and develop a web application using HTML, CSS, and JavaScript.",0.9,Technical Skills,root,1.0,Must_Have,0,"Role: Software Developer Engineer 2; Skills: Web Development; Learning Objectives: Design and develop a web application using HTML, CSS, and JavaScript","[-0.01360291 -0.00790638  0.01607309 ... -0.0132518  -0.01482864
 -0.00867431]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
141,143,143,Companies In India,job_result_2_0.txt,144,Product Manager 2 (UPI),Product Manager,Product Management,Zeta,Not specified,Not specified,Not specified,Bachelor's,"Computer Science, Engineering, or related fields",Not specified,Adaptability,"Ability to adapt quickly to changing product requirements, market trends, and customer needs.","Given a changing product requirement, the candidate will be able to adapt quickly.",0.7,Adaptability Skills,Root,0.0,Implied,0,"Role: Product Manager; Skills: Adaptability; Learning Objectives: Given a changing product requirement, the candidate will be able to adapt quickly","[-0.01499031 -0.01649761  0.00993912 ...  0.00298491 -0.0153957
 -0.01932513]",1,Product Management,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
142,144,144,Companies In India,job_result_1_10.txt,145,Software Development Engineer I - Fullstack,Software Development Engineer I Fullstack,Technology,Zeta,Not specified,Not specified,Not specified,Bachelor's/Master's,"Computer Science, Engineering",Not specified,Teamwork,Ability to collaborate with cross-functional teams,Foster effective teamwork and communication,0.6,Soft Skills,General Skills,0.0,Implied,0,Role: Software Development Engineer I Fullstack; Skills: Teamwork; Learning Objectives: Foster effective teamwork and communication,"[ 0.00056112 -0.00509831  0.01611281 ... -0.00694211 -0.00949394
 -0.02342045]",7,Engineering Leadership,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
143,145,145,Companies In India,job_result_2_70.txt,146,Zeta - Manager - Financial Planning & Analysis (7-10 yrs),Financial Planning and Analysis Manager,Finance,Zeta,100000,150000,Stock options and bonuses,Bachelor's,Finance or Accounting,CA or MBA,Time Management,Managing time effectively to meet deadlines,Prioritize tasks to meet financial reporting deadlines,0.8,Soft Skills,Child,0.0,Implied,1,Role: Financial Planning and Analysis Manager; Skills: Time Management; Learning Objectives: Prioritize tasks to meet financial reporting deadlines,"[-0.01899807 -0.01589746  0.00644947 ...  0.00473071 -0.00103176
 -0.00534897]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
144,146,146,Companies In India,job_result_4_0.txt,147,Senior Credit Card Operations Manager,Credit Card Operations Manager,Operations,Zeta,70000,100000,Bonuses and stock options,Bachelor's,"Business, Finance, or related field",MBA preferred,Credit Card Operations,Knowledge of credit card operations processes,Understand credit card operations processes,0.9,Financial Operations,root,1.0,Must_Have,1,Role: Credit Card Operations Manager; Skills: Credit Card Operations; Learning Objectives: Understand credit card operations processes,"[-0.03421565 -0.00728597  0.01066435 ...  0.0052725   0.00851003
 -0.02875226]",3,Corporate and Project Finance,Information Technology,Technology Hardware and Equipment,0.4274,445,190.193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,52,1.0070977392231861
